,row,City,Latitude,Longitude,Temperature (degrees F),Humidity,Clouds (%),Winds Speed
37,41,huarmey,-10.07,-78.15,66.74,64,1,9.71
38,42,sayhat,26.49,50.04,94.1,52,0,5.82
39,43,vestmanna,62.16,-7.17,51.8,100,62,14.99
40,44,khatanga,71.97,102.5,55.29,89,97,9.15
41,45,yellowknife,62.46,-114.35,67.57,64,75,14.99
42,46,grindavik,63.84,-22.43,50.0,93,75,18.34
43,47,bereznik,62.86,42.71,62.91,94,100,12.3
44,48,truth or consequences,33.13,-107.25,94.64,18,1,6.93
45,49,chuy,-33.7,-53.46,69.46,73,0,7.02
46,51,broken hill,-31.95,141.43,44.6,45,75,6.93
47,52,ushuaia,-54.8,-68.3,42.8,56,40,32.21
48,53,hithadhoo,-0.6,73.08,81.95,75,100,13.35
49,55,albany,42.6,-73.97,80.29,39,1,10.18
50,56,carnarvon,-24.87,113.63,55.4,76,0,9.17
51,57,georgiyevka,43.04,74.71,75.2,44,20,8.95
52,58,shingu,33.73,135.98,73.4,87,0,3.91
53,59,bethel,41.37,-73.41,84.56,45,20,9.17
54,60,berkakit,56.58,124.77,47.97,74,3,0.92
55,61,longyearbyen,78.22,15.64,53.6,71,75,5.82
56,62,roma,43.21,-75.46,74.59,44,20,11.41
57,66,vaini,-21.2,-175.2,59.0,93,20,4.7
58,67,vao,-22.67,167.48,68.76,66,0,4.32
59,68,barrow,71.29,-156.79,44.6,81,75,13.87
60,69,stepnyak,52.83,70.78,64.15,62,0,8.61
61,71,east london,-33.02,27.91,60.28,77,100,6.91
62,72,daguit,14.19,122.73,76.84,92,100,2.73
63,73,paamiut,61.99,-49.67,44.29,84,100,17.85
64,74,cherskiy,68.75,161.3,41.88,91,100,6.08
65,75,touros,-5.2,-35.46,80.6,65,40,12.75
66,76,wanning,18.8,110.4,82.35,87,100,12.15
67,77,saskylakh,71.92,114.08,62.17,89,91,10.27
68,78,hima,0.3,30.18,73.04,54,92,1.92
69,80,bilma,18.69,12.92,99.52,22,10,8.37
70,81,valleyview,55.07,-117.29,78.8,42,34,7.18
71,82,bathsheba,13.22,-59.52,87.8,62,40,16.11
72,83,sao filipe,14.9,-24.5,77.81,82,16,6.58
73,85,mataura,-46.19,168.86,39.99,96,100,3.65
74,86,betioky,-23.72,44.38,60.64,91,0,3.38
75,87,norman wells,65.28,-126.83,64.4,77,75,4.7
76,88,tocopilla,-22.09,-70.2,65.28,53,38,8.12
77,89,liverpool,53.41,-2.98,67.55,82,75,11.41
78,90,iqaluit,63.75,-68.51,64.2,63,75,17.22
79,91,qui nhon,13.77,109.23,79.43,86,100,4.09
80,92,atuona,-9.8,-139.03,78.35,73,4,15.9
81,93,nikolskoye,59.7,30.79,58.91,72,100,2.24
82,94,savannah bight,16.45,-85.85,84.4,76,98,11.92
83,95,bazarnyye mataki,54.88,49.93,66.22,96,85,7.58
84,96,haines junction,60.75,-137.51,58.26,58,50,3.47
85,98,yinchuan,38.47,106.27,76.17,62,93,3.69
86,99,mayo,38.89,-76.51,85.14,65,1,8.05
87,100,kramat,-8.13,113.45,71.06,87,95,1.39
88,101,santa lucia,27.91,-15.54,74.93,61,20,27.51
89,102,mao,39.89,4.27,75.2,60,20,3.36
90,103,qaanaaq,77.48,-69.36,37.94,70,4,0.4
91,104,bela vista,-22.11,-56.52,89.17,19,0,5.91
92,105,torbay,47.67,-52.73,64.9,68,20,10.29
93,108,lai,9.4,16.3,73.62,91,100,5.91
94,109,ambulu,-8.35,113.61,72.0,89,100,4.68
95,111,provideniya,64.38,-173.3,50.0,76,100,6.71
96,112,dondo,-19.61,34.74,69.8,94,38,9.17
97,113,esperance,-33.87,121.9,53.6,93,90,9.17
98,115,srednekolymsk,67.45,153.68,55.72,60,2,7.25
99,116,bereda,43.27,-7.54,70.99,1,0,3.58
100,117,avera,33.19,-82.53,90.93,55,40,3.51
101,118,tasiilaq,65.61,-37.64,44.6,81,75,6.93
102,119,lubumbashi,-11.66,27.48,59.76,44,0,2.68
103,120,gladstone,-23.85,151.25,57.2,93,90,8.05
104,121,tiksi,71.69,128.87,59.38,61,100,8.01
105,122,katsuura,35.13,140.3,76.95,92,48,6.04
106,123,kang,-23.68,22.79,57.31,34,0,4.29
107,124,hermanus,-34.42,19.23,44.01,92,61,2.01
108,125,thompson,55.74,-97.86,80.6,44,40,13.87
109,126,kenai,60.55,-151.26,62.17,67,1,6.93
110,128,upernavik,72.79,-56.15,40.89,68,100,3.31
111,129,calama,-22.47,-68.93,73.4,4,0,23.04
112,130,sao joao da barra,-21.64,-41.05,74.35,57,40,11.41
113,131,saint-philippe,-21.36,55.77,55.98,77,45,4.7
114,132,avarua,-21.21,-159.78,77.0,94,0,11.41
115,133,beringovskiy,63.05,179.32,47.53,78,99,12.77
116,134,goderich,43.75,-81.72,68.0,66,0,9.1
117,135,comodoro rivadavia,-45.87,-67.5,55.4,43,98,20.8
118,136,lentekhi,42.79,42.73,63.68,72,65,0.72
119,137,oum hadjer,13.3,19.7,74.3,87,100,9.57
120,138,cairns,-16.92,145.77,66.81,83,75,4.7
121,139,razdolnoye,43.55,131.92,71.6,100,90,6.26
122,140,san patricio,19.22,-104.7,93.2,71,20,9.17
123,141,saldanha,-33.01,17.94,46.4,70,0,4.7
124,143,mehamn,71.04,27.85,48.2,93,90,4.7
125,144,kodiak,57.79,-152.41,60.8,67,1,5.82
126,145,shache,38.42,77.24,79.09,27,96,9.22
127,146,slobozia,46.73,29.71,75.2,38,0,6.93
128,147,victoria point,-27.58,153.3,50.23,81,0,6.93
129,148,buraydah,26.33,43.98,95.0,21,0,10.29
130,150,mahebourg,-20.41,57.7,68.0,72,40,3.36
131,151,akhmim,26.56,31.75,89.76,21,0,9.06
132,152,balaipungut,1.05,101.28,77.0,88,20,5.82
133,153,winona,43.97,-91.77,77.0,39,75,3.36
134,155,asau,46.43,26.4,63.0,80,0,1.66
135,156,prince george,53.92,-122.75,73.92,53,1,8.05
136,157,tuni,17.35,82.55,78.35,87,100,14.0
137,158,maudaha,25.68,80.12,86.97,73,100,12.73
138,160,umm kaddadah,13.6,26.69,76.15,73,100,8.9
139,162,anito,12.45,125.29,80.78,84,100,6.91
140,163,lorengau,-2.02,147.27,79.39,87,100,13.44
141,164,atasu,48.68,71.64,75.04,37,33,16.08
142,168,saint george,37.1,-113.58,97.5,10,1,6.93
143,169,luderitz,-26.65,15.16,55.4,50,2,21.92
144,170,manaure,11.78,-72.44,95.0,50,75,17.22
145,171,puerto ayora,-0.74,-90.35,73.89,57,40,21.92
146,172,smithers,54.78,-127.17,57.2,93,90,2.24
147,175,georgetown,5.41,100.34,83.05,88,20,2.24
148,176,airai,-8.93,125.41,54.14,100,29,0.65
149,177,bell ville,-32.63,-62.69,82.06,36,0,18.99
150,178,alofi,-19.06,-169.92,73.4,100,67,4.7
151,179,arteaga,18.47,-102.42,81.37,70,18,3.8
152,180,xuddur,4.12,43.89,73.92,71,21,20.04
153,181,nome,64.5,-165.41,53.85,71,1,8.05
154,182,victoria,22.29,114.16,78.76,83,100,8.99
155,183,porto-vecchio,41.59,9.28,74.26,64,0,3.36
156,184,talnakh,69.49,88.4,53.6,93,35,4.47
157,185,stromness,58.97,-3.3,58.41,93,92,10.47
158,186,tezu,27.92,96.17,78.84,80,27,4.5
159,187,deputatskiy,69.3,139.9,54.73,55,77,6.69
160,188,bitung,1.45,125.18,75.2,94,20,2.24
161,189,sao felix do xingu,-6.64,-51.99,92.93,26,0,5.57
162,190,port alfred,-33.59,26.89,58.01,89,100,13.71
163,191,savyntsi,49.4,37.06,65.75,69,0,7.83
164,192,port hardy,50.7,-127.42,59.0,87,75,4.7
165,193,placido de castro,-10.34,-67.19,98.11,21,0,1.61
166,194,komsomolskiy,40.43,71.72,80.6,42,0,6.93
167,195,beyneu,45.32,55.2,75.76,41,62,6.89
168,196,launceston,-41.45,147.17,32.97,89,0,2.59
169,197,faanui,-16.48,-151.75,78.22,81,94,14.32
170,198,cumpas,29.98,-109.78,93.15,35,0,2.8
171,199,saint-joseph,-21.37,55.62,56.82,77,50,4.7
172,200,bouna,9.27,-3.0,74.25,65,29,5.48
173,201,kruisfontein,-34.0,24.73,50.0,94,61,0.76
174,202,flinders,-34.58,150.86,47.16,58,0,5.01
175,203,luganville,-15.53,167.17,69.8,94,20,7.36
176,204,pisco,-13.7,-76.22,63.21,82,40,12.75
177,205,alenquer,-1.94,-54.74,93.22,38,28,6.55
178,206,geraldton,-28.77,114.6,50.0,93,0,6.93
179,207,kavaratti,10.57,72.64,82.98,80,100,29.86
180,208,missoula,47.02,-113.8,83.86,26,1,4.7
181,209,ambunti,-4.24,142.84,73.09,98,100,1.16
182,210,clyde river,70.47,-68.59,42.8,75,75,13.87
183,211,iralaya,15.0,-83.23,87.8,74,90,9.35
184,212,bourail,-21.57,165.48,63.46,78,0,1.41
185,213,puerto madero,14.72,-92.42,89.6,66,40,8.05
186,214,egvekinot,66.32,-179.17,38.59,87,97,6.33
187,215,gadsden,34.01,-86.01,86.92,52,20,8.05
188,216,severo-kurilsk,50.68,156.12,51.21,91,100,12.35
189,217,camana,-16.62,-72.71,62.69,65,48,6.38
190,218,port elizabeth,-33.92,25.57,55.4,93,94,8.05
191,219,bengkulu,-3.8,102.27,76.01,83,91,3.33
192,220,kigorobya,1.62,31.31,69.3,86,42,5.59
193,221,ponta do sol,32.67,-17.1,70.63,73,75,8.05
194,222,houma,29.6,-90.72,91.71,66,75,6.93
195,223,blackwater,-23.58,148.88,56.88,88,0,6.4
196,224,morro agudo,-20.73,-48.06,84.2,20,0,5.82
197,225,cockburn town,21.46,-71.14,86.0,70,40,9.17
198,226,shenjiamen,29.96,122.3,80.85,86,62,23.53
199,227,mackay,-21.15,149.2,59.41,100,67,3.36
200,228,leningradskiy,69.38,178.42,36.34,86,100,13.13
201,229,tabuk,17.42,121.44,74.71,86,96,2.66
202,230,bambous virieux,-20.34,57.76,66.11,72,40,3.36
203,231,rundu,-17.93,19.77,63.09,26,0,3.36
204,232,sitka,57.05,-135.33,59.0,77,75,5.82
205,233,kununurra,-15.77,128.73,66.2,84,100,5.14
206,234,sterling,39.01,-77.43,83.93,48,40,5.82
207,235,aykhal,66.0,111.5,62.6,42,0,6.71
208,236,waounde,15.26,-12.87,89.6,66,40,2.24
209,237,turukhansk,65.82,87.98,57.54,77,85,8.75
210,238,nisia floresta,-6.09,-35.21,81.48,65,40,12.75
211,239,shimoda,34.67,138.95,72.0,92,16,1.01
212,240,kodinsk,58.69,99.18,62.42,63,98,1.36
213,241,inongo,-1.95,18.27,73.72,73,100,5.37
214,242,aquiraz,-3.9,-38.39,84.2,54,20,17.22
215,243,harij,23.7,71.9,89.28,71,100,11.18
216,244,mitu,1.2,-70.17,79.52,86,58,2.35
217,245,portland,45.52,-122.68,76.39,47,20,10.29
218,246,miramar,25.99,-80.23,90.73,70,20,4.7
219,247,nampula,-15.12,39.27,68.47,88,75,10.29
220,248,arlit,18.74,7.39,100.78,24,63,14.16
221,249,moose factory,51.26,-80.61,62.6,82,40,8.05
222,250,honiara,-9.43,159.95,75.2,94,40,4.7
223,251,albacete,38.83,-2.0,86.0,45,0,9.17
224,252,nhulunbuy,-12.23,136.77,69.8,94,0,6.15
225,253,san cristobal,7.77,-72.22,89.6,46,40,20.8
226,254,saint anthony,45.02,-93.22,75.22,47,40,10.29
227,255,jasper,37.2,-94.35,81.12,51,20,8.05
228,256,fortuna,40.6,-124.16,60.01,95,100,4.0
229,257,marsaxlokk,35.84,14.54,76.26,73,0,10.29
230,258,minbu,20.18,94.88,78.17,90,100,11.92
231,260,saint-augustin,51.23,-58.65,67.05,52,52,13.22
232,261,tura,25.52,90.22,77.31,87,88,10.42
233,262,peniche,39.36,-9.38,68.43,81,0,15.01
234,264,karratha,-20.74,116.85,62.2,52,26,15.55
235,265,qaqortoq,60.72,-46.03,55.4,62,20,5.82
236,266,namatanai,-3.67,152.43,79.07,81,100,9.24
237,267,daman,20.42,72.85,81.7,89,100,15.21
238,268,talavera de la reina,39.96,-4.83,84.79,23,0,0.96
239,269,batemans bay,-35.72,150.18,31.37,84,0,4.68
240,270,azatavan,39.98,44.51,75.2,31,0,20.8
241,271,pevek,69.7,170.31,34.7,97,100,5.46
242,272,lebu,-37.62,-73.65,51.67,69,29,11.39
243,274,berlevag,70.86,29.09,47.52,93,75,8.05
244,275,cheremshan,54.67,51.5,66.88,94,77,8.48
245,276,kalat,29.02,66.59,69.98,31,8,1.1
246,277,sorland,67.67,12.69,59.0,72,0,3.36
247,278,takoradi,4.88,-1.76,74.03,81,21,13.35
248,279,yulin,22.63,110.15,76.44,94,100,3.15
249,280,nyurba,63.28,118.33,54.21,79,0,2.98
250,281,lakes entrance,-37.88,147.98,44.01,81,44,13.58
251,282,kyren,51.68,102.14,59.34,82,100,0.25
252,283,chicama,-7.84,-79.15,71.17,54,0,10.76
253,284,coro,11.4,-69.67,90.28,52,49,23.58
254,285,ribeira grande,38.52,-28.7,75.2,60,40,11.41
255,286,zeya,53.75,127.27,49.33,91,59,5.75
256,287,sharjah,25.36,55.4,94.62,71,57,2.24
257,288,makarov,48.63,142.8,52.12,91,100,13.31
258,289,igarka,67.47,86.58,54.25,81,36,8.72
259,290,torbat-e jam,35.24,60.62,71.73,27,0,14.94
260,291,platanos,37.67,21.62,75.78,88,20,5.82
261,293,thunder bay,48.4,-89.32,75.2,50,75,8.05
262,294,guerrero negro,27.98,-114.06,79.39,52,7,12.21
263,295,kindu,-2.95,25.95,75.88,58,19,0.34
264,296,manta,-0.95,-80.73,84.2,62,20,8.05
265,297,el bagre,7.59,-74.81,96.98,38,0,5.37
266,298,plettenberg bay,-34.05,23.37,50.7,74,15,4.59
267,299,husavik,66.04,-17.34,53.6,87,75,4.7
268,300,cam ranh,11.92,109.16,80.6,88,40,2.24
269,301,jennings,38.72,-90.26,75.27,44,40,8.05
270,302,dunedin,-45.87,170.5,44.01,88,100,34.0
271,303,inirida,3.87,-67.92,86.59,59,19,0.51
272,304,ambilobe,-13.2,49.05,66.6,80,56,4.38
273,305,verkhnevilyuysk,63.45,120.32,54.48,76,0,2.89
274,307,umm lajj,25.02,37.27,85.59,65,0,3.65
275,308,taoudenni,22.68,-3.98,109.8,9,5,6.73
276,309,kahului,20.89,-156.47,80.28,51,40,19.46
277,310,sassandra,4.95,-6.08,72.91,81,1,9.71
278,311,hamilton,39.18,-84.53,76.59,50,40,4.7
279,312,san javier,37.81,-0.84,80.11,69,0,6.93
280,313,mandalgovi,45.76,106.27,69.21,37,0,11.21
281,314,gombong,-7.61,109.51,72.39,89,2,5.48
282,316,gravdal,68.12,13.5,59.0,72,0,3.36
283,317,callaguip,18.07,120.49,80.6,94,75,4.7
284,318,monte carmelo,-18.72,-47.5,74.01,33,0,8.34
285,319,nishihara,26.18,127.76,82.31,88,75,4.7
286,321,bagdarin,54.43,113.6,55.62,92,100,0.94
287,322,tias,28.96,-13.64,77.0,65,20,17.22
288,323,cardinal,44.78,-75.38,74.12,47,20,11.41
289,324,bud,39.45,-86.18,72.81,53,40,6.06
290,325,narsaq,60.92,-46.05,55.4,62,20,5.82
291,326,mengcheng,33.26,116.57,80.15,93,100,1.81
292,327,zhigansk,66.77,123.37,60.6,61,29,4.94
293,328,garowe,8.41,48.48,79.74,54,78,17.81
294,329,seddon,-37.81,144.89,42.37,87,75,8.05
295,330,chokurdakh,70.63,147.92,55.26,55,24,6.8
296,331,te anau,-45.42,167.72,43.39,90,97,1.63
297,332,hauterive,46.09,3.45,76.01,36,0,3.36
298,333,roros,62.57,11.38,55.4,93,92,2.24
299,334,ca mau,9.18,105.15,75.29,93,100,5.99
300,335,camarasu,46.78,24.13,72.19,56,20,3.36
301,336,porteirinha,-15.74,-43.03,75.0,43,100,13.13
302,337,yaan,7.38,8.57,73.72,90,100,4.74
303,338,san quintin,30.48,-115.95,76.39,54,0,18.25
304,339,gambela,8.25,34.58,67.77,85,100,2.53
305,340,pemangkat,1.17,108.97,77.18,85,100,3.0
306,341,ancud,-41.87,-73.82,49.37,70,20,16.11
307,342,mana,5.66,-53.78,82.65,79,2,11.48
308,343,ilulissat,69.22,-51.1,39.2,93,90,2.24
309,344,yatou,37.15,122.38,74.71,97,100,9.28
310,345,aktash,50.3,87.73,41.18,96,41,1.92
311,346,tirano,46.22,10.17,57.45,76,0,2.24
312,347,amvrosiyivka,47.79,38.48,70.5,58,0,9.89
313,348,cuamba,-14.8,36.54,72.52,47,36,3.0
314,349,coihaique,-45.58,-72.07,39.2,75,90,6.93
315,350,belaya gora,68.53,146.42,59.05,49,0,9.28
316,351,kamaishi,39.27,141.88,73.45,75,60,5.55
317,353,ust-nera,64.57,143.2,60.85,48,0,3.62
318,354,maniitsoq,65.42,-52.9,47.89,78,1,8.99
319,355,hovd,48.01,91.64,61.39,62,0,0.87
320,356,mildura,-34.2,142.15,32.0,78,100,3.36
321,358,birao,10.28,22.79,72.86,90,100,8.93
322,359,kaitangata,-46.28,169.85,43.0,88,100,5.84
323,360,moron,-34.65,-58.62,78.8,44,47,5.99
324,361,acapulco,16.86,-99.89,89.6,70,75,6.93
325,363,veraval,20.9,70.37,82.8,87,100,16.91
326,364,dharchula,29.85,80.53,73.62,63,100,3.15
327,365,korba,22.35,82.68,77.16,91,100,3.51
328,366,baykit,61.67,96.37,60.6,74,97,4.34
329,367,hambantota,6.12,81.12,78.8,100,75,3.36
330,368,kichera,55.94,110.1,59.88,66,1,3.71
331,369,camacha,33.08,-16.33,71.6,78,75,13.87
332,370,dolinsk,47.35,142.8,53.6,100,75,13.42
333,372,ossora,59.24,163.07,57.13,65,2,10.49
334,373,mikuni,36.22,136.15,73.4,83,15,3.36
335,374,black diamond,47.31,-122.0,76.6,63,0,4.99
336,375,oistins,13.07,-59.53,87.8,62,40,16.11
337,376,manono,-7.3,27.42,79.34,32,52,3.31
338,377,usinsk,65.99,57.53,60.89,89,100,12.39
339,378,los algarrobos,8.5,-82.43,78.6,74,40,11.41
340,379,vermilion,40.17,-87.75,72.54,49,40,5.82
341,380,maumere,-8.62,122.21,74.01,79,42,5.3
342,381,half moon bay,37.46,-122.43,63.16,77,90,10.29
343,382,senanga,-16.12,23.27,64.04,28,0,4.63
344,383,adrar,20.5,-10.07,101.05,22,16,12.1
345,384,kentau,43.52,68.51,82.76,18,0,7.05
346,385,redmond,47.67,-122.12,76.66,57,29,4.14
347,386,pelym,61.01,62.0,56.98,66,14,1.66
348,388,ixtapa,20.7,-105.2,88.9,74,40,9.17
349,389,raghunathpur,23.55,86.67,79.47,89,96,12.82
350,390,sosnovskoye,55.81,43.17,59.5,93,75,1.92
351,391,praia da vitoria,38.73,-27.07,78.8,65,75,13.04
352,392,dukat,62.55,155.55,48.07,64,42,3.22
353,393,kieta,-6.22,155.63,79.2,80,100,3.09
354,394,madras,13.09,80.28,86.0,58,40,8.05
355,395,mount gambier,-37.83,140.77,39.2,100,75,5.82
356,396,nemuro,43.32,145.57,64.94,97,78,2.21
357,397,chimbote,-9.09,-78.58,64.54,70,4,11.7
358,398,tazovskiy,67.47,78.7,52.72,78,0,3.94
359,399,huangchuan,32.13,115.04,81.79,82,100,6.93
360,400,outjo,-20.12,16.15,52.81,43,0,6.17
361,401,jiayuguan,39.82,98.3,71.71,48,73,2.21
362,402,rovaniemi,66.5,25.72,57.2,82,100,8.05
363,403,tupik,54.43,119.93,51.82,91,95,1.36
364,404,verkh-usugli,52.7,115.17,54.79,98,100,2.55
365,405,okha,53.57,142.95,53.46,91,100,8.37
366,406,denia,38.84,0.11,78.12,82,0,15.99
367,407,izumo,35.37,132.77,75.2,94,75,8.05
368,408,iquitos,-3.75,-73.25,89.6,55,40,5.82
369,409,rustenburg,-25.67,27.24,55.65,34,0,1.61
370,410,nanortalik,60.14,-45.24,45.03,82,2,4.68
371,411,sorkjosen,69.8,20.93,51.17,85,9,0.54
372,412,klaksvik,62.23,-6.59,51.8,100,54,14.99
373,413,wanaka,-44.7,169.15,37.0,83,100,1.99
374,414,henties bay,-22.12,14.28,55.99,80,0,8.01
375,415,sarh,9.14,18.39,80.6,83,20,5.37
376,416,urla,38.32,26.76,79.95,48,0,12.75
377,417,mugur-aksy,50.35,90.5,46.42,80,31,4.29
378,418,asmara,15.33,38.93,59.45,95,93,5.88
379,420,wufeng,27.45,104.83,61.65,100,11,5.32
380,421,kutum,14.2,24.67,67.57,86,100,10.69
381,422,port lincoln,-34.73,135.87,50.05,67,100,18.63
382,423,samarai,-10.62,150.67,77.54,87,100,12.84
383,424,kavieng,-2.57,150.8,82.44,80,95,16.96
384,425,mirnyy,62.54,113.96,59.0,58,17,6.71
385,426,vila do maio,15.13,-23.22,82.4,74,75,6.93
386,427,quatre cocos,-20.21,57.76,65.91,72,40,3.36
387,428,xining,36.62,101.77,64.06,80,82,1.05
388,430,port hedland,-20.32,118.57,57.2,50,96,8.05
389,431,staryy nadym,65.61,72.68,58.5,61,18,5.95
390,432,port-de-bouc,43.4,4.98,76.35,44,0,4.7
391,433,seymchan,62.88,152.43,56.62,52,0,2.64
392,434,novo aripuana,-5.12,-60.38,96.28,29,16,4.7
393,435,jaciara,-15.97,-54.97,89.94,21,0,8.16
394,436,pakxan,18.38,103.66,75.34,95,100,1.07
395,437,qax,41.42,46.92,73.4,53,75,11.41
396,438,waddan,29.16,16.14,93.43,13,15,11.45
397,439,boa vista,2.82,-60.67,84.2,70,75,2.24
398,440,atambua,-9.11,124.89,67.26,89,8,1.92
399,441,anchorage,61.22,-149.9,62.89,59,1,4.7
400,442,necochea,-38.55,-58.74,56.44,88,97,6.29
401,443,tual,-5.67,132.75,77.7,87,93,11.5
402,445,roura,4.73,-52.33,77.0,94,51,4.7
403,446,miraflores,19.22,-98.81,73.26,35,40,8.05
404,447,dawlatabad,36.41,64.91,74.52,25,0,1.59
405,448,lagoa,39.05,-27.98,70.5,73,95,12.41
406,449,lingao,19.91,109.69,80.85,87,100,13.87
407,450,belyy yar,53.6,91.39,59.0,77,0,4.47
408,451,mendota,36.75,-120.38,79.86,39,1,6.93
409,452,sorong,-0.88,131.25,78.46,88,100,8.57
410,453,kirakira,-10.45,161.92,79.02,84,60,11.05
411,454,port hueneme,34.15,-119.2,67.44,77,90,9.17
412,455,sakakah,29.97,40.21,89.6,17,0,11.41
413,456,okhotsk,59.38,143.3,55.98,83,0,2.98
414,457,dawei,14.08,98.2,77.07,89,100,2.37
415,459,ostersund,63.18,14.64,53.6,93,100,11.41
416,460,tommot,58.96,126.29,51.33,77,0,2.44
417,461,cap malheureux,-19.98,57.61,68.0,72,40,3.36
418,462,pochutla,15.74,-96.47,90.68,59,90,7.34
419,463,makakilo city,21.35,-158.09,82.04,54,75,9.17
420,465,yima,34.74,111.88,75.0,1,100,8.5
421,466,margate,51.38,1.39,71.87,50,61,5.01
422,467,magalia,39.81,-121.58,80.19,50,5,7.9
423,468,maragogi,-9.01,-35.22,74.62,79,71,14.54
424,469,bull savanna,17.89,-77.59,85.28,67,4,18.63
425,470,beni suef,29.07,31.1,81.9,38,0,12.41
426,471,north bend,43.41,-124.22,66.09,72,90,10.29
427,472,abu samrah,35.3,37.18,73.54,74,0,14.0
428,473,west wendover,40.74,-114.07,89.6,14,1,6.93
429,474,unai,-16.36,-46.91,78.89,29,0,8.75
430,475,rayadrug,14.7,76.87,73.78,84,100,16.75
431,476,lompoc,34.64,-120.46,63.97,72,5,10.29
432,477,namibe,-15.2,12.15,62.62,86,39,11.65
433,478,atar,20.52,-13.05,95.2,32,0,11.36
434,479,aanekoski,62.69,25.82,60.53,77,74,2.24
435,480,bastia,42.67,9.33,73.27,69,0,5.82
436,481,morro bay,35.37,-120.85,78.67,45,12,3.0
437,482,vila velha,-20.33,-40.29,73.13,64,75,9.17
438,483,praya,14.92,-23.51,82.4,74,75,6.93
439,485,tromso,69.65,18.96,55.4,76,20,4.7
440,486,noumea,-22.28,166.46,62.49,100,24,3.36
441,487,griffith,41.53,-87.42,76.37,44,40,3.36
442,488,dayong,25.02,118.29,82.4,94,40,2.24
443,489,shubarshi,48.59,57.19,70.86,66,84,4.12
444,490,gavle,60.67,17.14,61.0,67,100,4.0
445,491,fairbanks,64.84,-147.72,59.56,82,1,2.37
446,492,harper,4.38,-7.72,73.02,75,66,8.5
447,493,tonstad,58.66,6.72,58.87,96,100,4.63
448,494,korla,41.76,86.15,83.14,23,60,14.03
449,496,yar-sale,66.83,70.83,58.53,62,19,9.6
450,497,algemesi,39.18,-0.43,80.31,77,0,6.93
451,499,suhbaatar,50.23,106.21,62.37,88,100,2.59
452,500,soe,-9.86,124.28,57.97,100,15,1.97
453,501,plouzane,48.38,-4.62,67.37,82,90,13.87
454,502,tres arroyos,-38.37,-60.28,59.7,86,87,5.61
455,503,port keats,-14.25,129.55,71.49,92,15,8.57
456,504,wasilla,61.58,-149.44,62.56,63,1,2.95
457,505,kysyl-syr,63.9,122.76,56.89,66,0,1.12
458,506,marly,50.35,3.55,75.06,41,0,3.36
459,507,manzanillo,20.34,-77.12,89.73,58,68,2.73
460,508,blagoyevo,63.37,47.92,65.66,74,100,10.0
461,509,adilcevaz,38.8,42.73,68.0,64,20,2.24
462,510,viedma,-40.81,-63.0,63.0,42,0,8.99
463,511,nurlat,54.43,50.81,66.52,95,37,8.16
464,512,gat,31.61,34.76,76.62,55,0,0.27
465,513,numaligarh,26.63,93.75,81.09,89,79,2.13
466,514,ahipara,-35.17,173.17,56.5,92,100,8.37
467,515,homnabad,17.77,77.13,69.55,88,100,15.1
